Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh),Renewables per capita (kWh)
Africa,,1965,2058.244,0,120.653
Africa,,1966,2103.541,0,131.249
Africa,,1967,2063.597,0,133.6
Africa,,1968,2107.265,0,152.359
Africa,,1969,2082.553,0,173.317
Africa,,1970,2186.515,0,211.175
Africa,,1971,2344.494,0,194.955
Africa,,1972,2407.308,0,216.209
Africa,,1973,2544,0,222.733
Africa,,1974,2576.997,0,246.655
Africa,,1975,2655.438,0,253.813
Africa,,1976,2825.959,0,273.66
Africa,,1977,2878.72,0,292.44
Africa,,1978,2915.916,0,286.792
Africa,,1979,3115.872,0,298.455
Africa,,1980,3281.682,0,282.91
Africa,,1981,3572.764,0,285.774
Africa,,1982,3726.833,0,277.992
Africa,,1983,3754.57,0,243.646
Africa,,1984,3760.117,20.442,232.932
Africa,,1985,3774.414,26.911,251.734
Africa,,1986,3736.265,43.331,254.996
Africa,,1987,3775.851,29.514,237.922
Africa,,1988,3915.549,48.835,252.341
Africa,,1989,3806.997,50.253,257.594
Africa,,1990,3843.619,37.232,255.68
Africa,,1991,3721.571,39.237,263.639
Africa,,1992,3702.732,38.826,245.312
Africa,,1993,3635.522,29.555,234.65
Africa,,1994,3643.234,38.511,232.019
Africa,,1995,3691.833,43.766,235.445
Africa,,1996,3692.345,44.479,240.183
Africa,,1997,3667.613,46.608,240.462
Africa,,1998,3624.197,48.911,245.892
Africa,,1999,3641.543,45.051,254.088
Africa,,2000,3626.14,44.562,266.152
Africa,,2001,3679.4,35.602,277.773
Africa,,2002,3618.564,38.622,283.219
Africa,,2003,3719.929,39.551,268.796
Africa,,2004,3895.61,40.476,276.158
Africa,,2005,3832.016,33.156,272.745
Africa,,2006,3803.705,28.534,275.8
Africa,,2007,3842.808,31.215,274.603
Africa,,2008,3995.911,34.758,272.145
Africa,,2009,3964.018,33.163,271.977
Africa,,2010,3976.928,33.936,285.42
Africa,,2011,3884.954,31.353,285.258
Africa,,2012,3927.714,30.522,279.08
Africa,,2013,3918.435,32.158,288.426
Africa,,2014,3924.095,30.461,301.105
Africa,,2015,3882.192,26.18,298.712
Africa,,2016,3886.396,32.991,289.087
Africa,,2017,3860.353,31.659,303.573
Africa,,2018,3883.183,21.603,317.342
Africa,,2019,3855.495,26.908,337.336
Algeria,DZA,1965,1884.302,0,88.528
Algeria,DZA,1966,2230.707,0,76.425
Algeria,DZA,1967,2036.54,0,85.792
Algeria,DZA,1968,2098.963,0,114.453
Algeria,DZA,1969,2309.184,0,71.311
Algeria,DZA,1970,2422.667,0,111.38
Algeria,DZA,1971,2606.043,0,61.637
Algeria,DZA,1972,2825.08,0,89.952
Algeria,DZA,1973,3248.063,0,132.966
Algeria,DZA,1974,3556.837,0,85.489
Algeria,DZA,1975,4178.7,0,54.86
Algeria,DZA,1976,4737.909,0,63.242
Algeria,DZA,1977,5085.437,0,42.497
Algeria,DZA,1978,6221.54,0,38.363
Algeria,DZA,1979,7919.34,0,43.347
Algeria,DZA,1980,9176.108,0,37.139
Algeria,DZA,1981,10800.247,0,51.285
Algeria,DZA,1982,12061.601,0,65.054
Algeria,DZA,1983,12807.885,0,30.934
Algeria,DZA,1984,11893.946,0,57.69
Algeria,DZA,1985,11607.818,0,79.995
Algeria,DZA,1986,11979.548,0,30.06
Algeria,DZA,1987,11932.901,0,58.304
Algeria,DZA,1988,12473.139,0,20.797
Algeria,DZA,1989,11805.952,0,25.005
Algeria,DZA,1990,12212.228,0,14.558
Algeria,DZA,1991,11788.975,0,30.829
Algeria,DZA,1992,11826.206,0,20.452
Algeria,DZA,1993,10745.094,0,35.481
Algeria,DZA,1994,10683.72,0,16.343
Algeria,DZA,1995,10869.128,0,18.642
Algeria,DZA,1996,10576.293,0,12.814
Algeria,DZA,1997,10007.001,0,7.004
Algeria,DZA,1998,10191.55,0,19.78
Algeria,DZA,1999,10150.35,0,18.414
Algeria,DZA,2000,9657.439,0,4.832
